# file...... SampleCaseTriplexMeters.csv
# date...... Wed Jul 24 15:51:00 2013
# user...... stan
# host...... (null)
# group..... class=triplex_meter AND groupid=House_Meter
# trigger... (none)
# interval.. 1
# limit..... 744
# property.. timestamp,sum(measured_power.real),avg(monthly_bill),avg(monthly_energy)
2013-05-01 00:00:00 UTC,+81385.3,+10,+0
2013-05-01 00:00:01 UTC,+81385.3,+10,+0.000337418
2013-05-01 00:00:02 UTC,+81241,+10,+0.000674837
2013-05-01 00:00:03 UTC,+81241,+10.0001,+0.00101166
2013-05-01 00:00:04 UTC,+81241,+10.0001,+0.00134848
2013-05-01 00:00:05 UTC,+81241,+10.0001,+0.0016853
2013-05-01 00:00:06 UTC,+81241,+10.0001,+0.00202212
2013-05-01 00:00:07 UTC,+81241,+10.0001,+0.00235894
2013-05-01 00:00:08 UTC,+81241,+10.0002,+0.00269576
2013-05-01 00:00:09 UTC,+81241,+10.0002,+0.00303258
2013-05-01 00:00:10 UTC,+81241,+10.0002,+0.0033694
2013-05-01 00:00:11 UTC,+81241,+10.0002,+0.00370622
2013-05-01 00:00:12 UTC,+81241,+10.0002,+0.00404304
2013-05-01 00:00:13 UTC,+81241,+10.0003,+0.00437986
2013-05-01 00:00:14 UTC,+81241,+10.0003,+0.00471668
2013-05-01 00:00:15 UTC,+81241,+10.0003,+0.0050535
2013-05-01 00:00:16 UTC,+81241,+10.0003,+0.00539032
2013-05-01 00:00:17 UTC,+81241,+10.0003,+0.00572714
2013-05-01 00:00:18 UTC,+81241,+10.0004,+0.00606396
2013-05-01 00:00:19 UTC,+81241,+10.0004,+0.00640078
2013-05-01 00:00:20 UTC,+81241,+10.0004,+0.0067376
2013-05-01 00:00:21 UTC,+81241,+10.0004,+0.00707442
2013-05-01 00:00:22 UTC,+81241,+10.0004,+0.00741124
2013-05-01 00:00:23 UTC,+81241,+10.0005,+0.00774806
2013-05-01 00:00:24 UTC,+81241,+10.0005,+0.00808488
2013-05-01 00:00:25 UTC,+81241,+10.0005,+0.0084217
2013-05-01 00:00:26 UTC,+81241,+10.0005,+0.00875852
2013-05-01 00:00:27 UTC,+81241,+10.0005,+0.00909534
2013-05-01 00:00:28 UTC,+81241,+10.0006,+0.00943216
2013-05-01 00:00:29 UTC,+81241,+10.0006,+0.00976898
2013-05-01 00:00:30 UTC,+81241,+10.0006,+0.0101058
2013-05-01 00:00:31 UTC,+81241,+10.0006,+0.0104426
2013-05-01 00:00:32 UTC,+81241,+10.0006,+0.0107794
2013-05-01 00:00:33 UTC,+81241,+10.0007,+0.0111163
2013-05-01 00:00:34 UTC,+81241,+10.0007,+0.0114531
2013-05-01 00:00:35 UTC,+81241,+10.0007,+0.0117899
2013-05-01 00:00:36 UTC,+81241,+10.0007,+0.0121267
2013-05-01 00:00:37 UTC,+81241,+10.0007,+0.0124635
2013-05-01 00:00:38 UTC,+81241,+10.0008,+0.0128004
2013-05-01 00:00:39 UTC,+81241,+10.0008,+0.0131372
2013-05-01 00:00:40 UTC,+81241,+10.0008,+0.013474
2013-05-01 00:00:41 UTC,+81241,+10.0008,+0.0138108
2013-05-01 00:00:42 UTC,+81241,+10.0008,+0.0141476
2013-05-01 00:00:43 UTC,+81241,+10.0009,+0.0144845
2013-05-01 00:00:44 UTC,+81241,+10.0009,+0.0148213
2013-05-01 00:00:45 UTC,+81241,+10.0009,+0.0151581
2013-05-01 00:00:46 UTC,+81241,+10.0009,+0.0154949
2013-05-01 00:00:47 UTC,+81241,+10.0009,+0.0158317
2013-05-01 00:00:48 UTC,+81241,+10.001,+0.0161686
2013-05-01 00:00:49 UTC,+81241,+10.001,+0.0165054
2013-05-01 00:00:50 UTC,+81241,+10.001,+0.0168422
2013-05-01 00:00:51 UTC,+81241,+10.001,+0.017179
2013-05-01 00:00:52 UTC,+81241,+10.001,+0.0175158
2013-05-01 00:00:53 UTC,+81241,+10.0011,+0.0178527
2013-05-01 00:00:54 UTC,+81241,+10.0011,+0.0181895
2013-05-01 00:00:55 UTC,+81241,+10.0011,+0.0185263
2013-05-01 00:00:56 UTC,+81241,+10.0011,+0.0188631
2013-05-01 00:00:57 UTC,+81241,+10.0012,+0.0191999
2013-05-01 00:00:58 UTC,+81241,+10.0012,+0.0195368
2013-05-01 00:00:59 UTC,+81241,+10.0012,+0.0198736
2013-05-01 00:01:00 UTC,+81241,+10.0012,+0.0202104
2013-05-01 00:01:01 UTC,+81241,+10.0012,+0.0205472
2013-05-01 00:01:02 UTC,+81241,+10.0013,+0.020884
2013-05-01 00:01:03 UTC,+81241,+10.0013,+0.0212209
2013-05-01 00:01:04 UTC,+81241,+10.0013,+0.0215577
2013-05-01 00:01:05 UTC,+81241,+10.0013,+0.0218945
2013-05-01 00:01:06 UTC,+81241,+10.0013,+0.0222313
2013-05-01 00:01:07 UTC,+81241,+10.0014,+0.0225681
2013-05-01 00:01:08 UTC,+81241,+10.0014,+0.022905
2013-05-01 00:01:09 UTC,+81241,+10.0014,+0.0232418
2013-05-01 00:01:10 UTC,+81241,+10.0014,+0.0235786
2013-05-01 00:01:11 UTC,+81241,+10.0014,+0.0239154
2013-05-01 00:01:12 UTC,+81241,+10.0015,+0.0242522
2013-05-01 00:01:13 UTC,+81241,+10.0015,+0.0245891
2013-05-01 00:01:14 UTC,+81241,+10.0015,+0.0249259
2013-05-01 00:01:15 UTC,+81241,+10.0015,+0.0252627
2013-05-01 00:01:16 UTC,+81241,+10.0015,+0.0255995
